tblUploadID,Country,Reporting_organisation,CruiseID
8531,DE,1574,SOLEA 783
8528,DE,1574,SOLEA 785
12710,SE,4484,SE448477U32021SSSQ4
8529,DE,1574,SOLEA 789
8346,BE,1478,BE147811BU2022
12693,SE,4484,SE448477U32022SSSQ4
11678,DE,1570,DE157006NI2022Q1
12700,SE,4484,SE448477SE2022IBTSQ3
12690,SE,4484,SE448477SE2022IBTSQ1
12692,SE,4484,SE448477U32022SSSQ1
11679,DE,1570,DE157006NI2022Q3
9620,NL,1340,NL134064T22022
8526,DK,2195,DK219526D42022
8537,DK,2195,DK219526HF2022
8520,DK,2195,DK219526D42023
9622,NL,1340,NL134064T22023
11680,DE,1570,DE157006NI2023Q1
11681,DE,1570,DE157006NI2023Q3
12701,SE,4484,SE448477SE2023IBTSQ3
8355,BE,1478,BE147811BU2023
12698,SE,4484,SE448477U32023SSSQ4
12703,SE,4484,SE448477SE2023IBTSQ1
12699,SE,4484,SE448477U32023SSSQ1
10623,DK,2195,DK219526D42024
12704,SE,4484,SE448477SE2024IBTSQ1
10620,DK,2195,DK219526HI2024
12713,DE,1574,833
12706,SE,4484,SE448477U32024SSSQ1
11682,DE,1570,DE157026D42024Q3
12705,SE,4484,SE448477SE2024IBTSQ3
9621,NL,1340,NL134064T22024
12707,SE,4484,SE448477U32024SSSQ4
